ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	50	2	2	0.000000	13.580000	12.960000	0.000000	0.000000	0	0	0
2	523	1	2	0.000000	19.787763	18.892925	0.000000	0.000000	0	0	0
3	145	2	2	0.000000	12.441379	12.034483	0.000000	0.000000	0	0	0
4	19	1	1	0.000000	13.315789	13.315789	0.000000	0.000000	0	0	0
5	5	2	2	0.000000	12.800000	12.800000	0.000000	0.000000	0	0	0
6	51	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
7	148	1	2	0.000000	18.054054	17.648649	0.000000	0.000000	0	0	0
8	3	2	2	0.000000	21.333333	21.333333	0.000000	0.000000	0	0	0
9	2	1	1	0.000000	13.000000	10.500000	0.000000	0.000000	0	0	0
10	2	1	2	0.000000	55.500000	55.500000	0.000000	0.000000	0	0	0
11	1	2	2	0.000000	57.000000	57.000000	0.000000	0.000000	0	0	0
12	3	1	1	0.000000	55.333333	54.333333	0.000000	0.000000	0	0	0
13	1	1	2	0.000000	67.000000	66.000000	0.000000	0.000000	0	0	0
14	1	1	2	0.000000	86.000000	85.000000	0.000000	0.000000	0	0	0
15	2	2	2	0.000000	86.500000	66.000000	0.000000	0.000000	0	0	0
16	32	1	1	0.000000	15.375000	14.781250	0.000000	0.000000	0	0	0
17	3	1	2	0.000000	32.000000	20.000000	0.000000	0.000000	0	0	0
18	2	2	2	0.000000	48.000000	36.000000	0.000000	0.000000	0	0	0
19	8	1	1	0.000000	31.750000	18.500000	0.000000	0.000000	0	0	0
20	5	1	1	0.000000	18.200000	10.200000	0.000000	0.000000	0	0	0
21	87	1	2	0.000000	12.241379	12.022989	0.000000	0.000000	0	0	0
22	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
23	1	3	2	0.000000	45.000000	44.000000	0.000000	0.000000	0	0	0
24	2	2	1	0.000000	12.500000	12.500000	0.000000	0.000000	0	0	0
25	2	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
26	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
27	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
28	1	2	1	0.000000	64.000000	19.000000	0.000000	0.000000	0	0	0
29	3	2	2	0.000000	60.333333	51.666667	0.000000	0.000000	0	0	0
30	1	2	1	0.000000	43.000000	43.000000	0.000000	0.000000	0	0	0
31	1	2	1	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
32	16	2	1	0.000000	19.687500	16.437500	0.000000	0.000000	0	0	0
33	1	1	1	0.000000	24.000000	21.000000	0.000000	0.000000	0	0	0
34	1	1	2	0.000000	28.000000	26.000000	0.000000	0.000000	0	0	0
35	4	2	2	0.000000	45.750000	25.250000	0.000000	0.000000	0	0	0
36	3	1	1	0.000000	41.000000	21.000000	0.000000	0.000000	0	0	0
37	1	2	1	0.000000	65.000000	19.000000	0.000000	0.000000	0	0	0
38	5	2	1	0.000000	58.000000	25.400000	0.000000	0.000000	0	0	0
39	5	2	1	0.000000	45.800000	24.200000	0.000000	0.000000	0	0	0
40	68	1	1	0.000000	19.397059	18.544118	0.000000	0.000000	0	0	0
41	46	1	1	0.000000	9.521739	9.521739	0.000000	0.000000	0	0	0
42	1	1	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
43	2	2	1	0.000000	66.000000	25.500000	0.000000	0.000000	0	0	0
44	1	1	2	0.000000	59.000000	29.000000	0.000000	0.000000	0	0	0
45	3	2	2	0.000000	76.333333	34.333333	0.000000	0.000000	0	0	0
46	1	2	1	0.000000	72.000000	22.000000	0.000000	0.000000	0	0	0
47	2	3	1	0.000000	64.000000	14.000000	0.000000	0.000000	0	0	0
48	183	1	2	0.000000	14.163934	13.748634	0.000000	0.000000	0	0	0
49	2	1	2	0.000000	6.000000	5.000000	0.000000	0.000000	0	0	0
50	3	2	4	0.000000	134.333333	11.666667	0.000000	0.000000	0	0	0
51	1	1	1	0.000000	136.000000	101.000000	0.000000	0.000000	0	0	0
52	1	3	1	0.000000	116.000000	78.000000	0.000000	0.000000	0	0	0
53	12	1	1	0.000000	6.333333	6.333333	0.000000	0.000000	0	0	0
54	3	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
55	8	1	1	0.000000	19.125000	19.125000	0.000000	0.000000	0	0	0
56	2	1	2	0.000000	38.000000	18.000000	0.000000	0.000000	0	0	0
57	1	1	1	0.000000	130.000000	13.000000	0.000000	0.000000	0	0	0
58	1	2	2	0.000000	128.000000	14.000000	0.000000	0.000000	0	0	0
59	30	2	1	0.000000	3.333333	3.333333	0.000000	0.000000	0	0	0
60	14	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
61	1	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
62	1	2	2	0.000000	17.000000	10.000000	0.000000	0.000000	0	0	0
63	2	1	1	0.000000	10.000000	3.000000	0.000000	0.000000	0	0	0
64	150	2	2	0.000000	18.480000	18.353333	0.000000	0.000000	0	0	0
65	1	2	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
66	18	1	1	0.000000	20.777778	20.777778	0.000000	0.000000	0	0	0
67	1	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
68	103	1	2	0.000000	13.048544	13.048544	0.000000	0.000000	0	0	0
69	7	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
70	1	1	2	0.000000	70.000000	69.000000	0.000000	0.000000	0	0	0
71	1	1	2	0.000000	81.000000	80.000000	0.000000	0.000000	0	0	0
72	1	2	2	0.000000	84.000000	83.000000	0.000000	0.000000	0	0	0
73	3	1	1	0.000000	67.333333	66.333333	0.000000	0.000000	0	0	0
74	6	4	2	0.000000	61.000000	57.333333	0.000000	0.000000	0	0	0
75	2	2	2	0.000000	34.000000	30.000000	0.000000	0.000000	0	0	0
76	2	2	1	0.000000	34.000000	30.500000	0.000000	0.000000	0	0	0
77	12	1	1	0.000000	17.166667	16.166667	0.000000	0.000000	0	0	0
78	343	1	2	0.000000	19.527697	18.341108	0.000000	0.000000	0	0	0
79	1	4	4	0.000000	356.000000	356.000000	0.000000	0.000000	0	0	0
80	1	2	3	0.000000	49.000000	49.000000	0.000000	0.000000	0	0	0
81	1	4	3	0.000000	52.000000	38.000000	0.000000	0.000000	0	0	0
82	1	3	3	0.000000	41.000000	37.000000	0.000000	0.000000	0	0	0
83	1	1	3	0.000000	48.000000	47.000000	0.000000	0.000000	0	0	0
84	1	3	2	0.000000	52.000000	27.000000	0.000000	0.000000	0	0	0
85	7	1	2	0.000000	14.285714	14.285714	0.000000	0.000000	0	0	0
86	27	2	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
87	1	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
88	1	2	4	0.000000	77.000000	33.000000	0.000000	0.000000	0	0	0
89	17	1	1	0.000000	46.647059	5.000000	0.000000	0.000000	0	0	0
90	1	1	2	0.000000	46.000000	6.000000	0.000000	0.000000	0	0	0
91	1	1	1	0.000000	89.000000	39.000000	0.000000	0.000000	0	0	0
92	1	3	3	0.000000	97.000000	38.000000	0.000000	0.000000	0	0	0
93	1	2	1	0.000000	54.000000	11.000000	0.000000	0.000000	0	0	0
94	5	2	1	0.000000	11.000000	8.600000	0.000000	0.000000	0	0	0
95	132	1	2	0.000000	3.280303	3.280303	0.000000	0.000000	0	0	0
96	1	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
97	7	1	2	0.000000	11.285714	11.285714	0.000000	0.000000	0	0	0
98	347	2	2	0.000000	7.276657	7.221902	0.000000	0.000000	0	0	0
99	4	1	1	0.000000	39.750000	23.000000	0.000000	0.000000	0	0	0
100	1	3	2	0.000000	55.000000	37.000000	0.000000	0.000000	0	0	0
101	1	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
102	4	2	2	0.000000	21.500000	21.500000	0.000000	0.000000	0	0	0
103	14	1	1	0.000000	11.642857	11.357143	0.000000	0.000000	0	0	0
104	11	1	2	0.000000	12.545455	11.545455	0.000000	0.000000	0	0	0
105	3	1	2	0.000000	30.000000	27.666667	0.000000	0.000000	0	0	0
106	3	1	2	0.000000	30.333333	27.333333	0.000000	0.000000	0	0	0
107	7	1	2	0.000000	31.428571	24.571429	0.000000	0.000000	0	0	0
108	3	1	2	0.000000	34.000000	20.333333	0.000000	0.000000	0	0	0
109	1	1	2	0.000000	46.000000	32.000000	0.000000	0.000000	0	0	0
110	8	1	2	0.000000	12.625000	12.625000	0.000000	0.000000	0	0	0
111	15	1	2	0.000000	12.600000	12.600000	0.000000	0.000000	0	0	0
112	273	1	2	0.000000	19.278388	18.351648	0.000000	0.000000	0	0	0
113	107	2	2	0.000000	14.000000	12.448598	0.000000	0.000000	0	0	0
114	17	2	1	0.000000	21.352941	21.352941	0.000000	0.000000	0	0	0
115	13	1	1	0.000000	21.461538	21.461538	0.000000	0.000000	0	0	0
116	1	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
117	5	1	1	0.000000	22.200000	22.200000	0.000000	0.000000	0	0	0
118	9	2	2	0.000000	23.222222	23.222222	0.000000	0.000000	0	0	0
119	19	1	1	0.000000	15.315789	15.315789	0.000000	0.000000	0	0	0
120	3	2	2	0.000000	10.333333	10.333333	0.000000	0.000000	0	0	0
121	2	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
