ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	213	0	2	0.000000	5.009390	5.009390	0.000000	0.000000	0	0	0
2	80	0	0	0.000000	4.887500	4.887500	0.000000	0.000000	0	0	0
3	311	0	0	0.000000	4.106109	4.106109	0.000000	0.000000	0	0	0
4	429	0	0	0.000000	4.074592	4.074592	0.000000	0.000000	0	0	0
5	348	1	0	0.000000	3.919540	3.919540	0.000000	0.000000	0	0	0
6	497	0	0	0.000000	4.002012	4.002012	0.000000	0.000000	0	0	0
7	373	0	0	0.000000	4.388740	4.388740	0.000000	0.000000	0	0	0
8	395	0	0	0.000000	3.483544	3.483544	0.000000	0.000000	0	0	0
9	630	1	0	0.000000	4.960317	4.960317	0.000000	0.000000	0	0	0
10	94	0	0	0.000000	3.978723	3.978723	0.000000	0.000000	0	0	0
11	171	0	0	0.000000	4.134503	4.134503	0.000000	0.000000	0	0	0
